fonctionobjectif= 3
pourcentage= 0.5
decroissance= 0.02
nbiterstagnant= 150
nbiterameliore= 5
f1= 30
f2= 6.488888888888889
f3= 0.7981459998252431
temps= 2.6885631s
nbiterameliore= 10
f1= 30
f2= 6.266666666666667
f3= 0.7665861471404595
temps= 2.0422191s
nbiterameliore= 15
f1= 30
f2= 6.044444444444444
f3= 0.7336699564097412
temps= 1.9739099s
nbiterameliore= 20
f1= 40
f2= 5.911111111111111
f3= 0.7336699564097412
temps= 1.9081972s
nbiterameliore= 25
f1= 30
f2= 6.7555555555555555
f3= 0.8432740427115678
temps= 1.8481621s
