fonctionobjectif= 3
pourcentage= 0.5
decroissance= 0.02
nbiterstagnant= 150
nbiterameliore= 5
f1= 70
f2= 3.5989649576772793
f3= 0.5812983748513081
temps= 7.6158269s
nbiterameliore= 10
f1= 90
f2= 4.420858734266028
f3= 0.6915580397388952
temps= 6.148828s
nbiterameliore= 15
f1= 60
f2= 3.9480724529625713
f3= 0.685186819210522
temps= 5.5801277s
nbiterameliore= 20
f1= 90
f2= 3.863865619928935
f3= 0.7041275541710073
temps= 5.7144827s
nbiterameliore= 25
f1= 80
f2= 2.951624928731176
f3= 0.6787557971112748
temps= 5.8393195s
